,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
4,US,38745832,RNX4EXOBBPN5,B00UZOPOFW,717410439,Emazing Lights eLite Flow Glow Sticks - Spinning Light LED Toy,Toys,1,1,1,N,Y,DONT BUY THESE!,Do not buy these! They break very fast I spun then for 15 minutes and the end flew off don't waste your money. They are made from cheap plastic and have cracks in them. Buy the poi balls they work a lot better if you only have limited funds.,2015-08-31
12,US,7360347,R2BUV9QJI2A00X,B00DOQCWF8,226984155,Minecraft Animal Toy (6-Pack),Toys,5,0,1,N,Y,Five Stars,Great deal,2015-08-31
14,US,13545982,R1T96CG98BBA15,B00NWGEKBY,933734136,Team Losi 8IGHT-E RTR AVC Electric 4WD Buggy Vehicle (1/8 Scale),Toys,3,2,4,N,Y,... servo so expect to spend 150 more on a good servo immediately be the stock one breaks right,Comes w a 15$ servo so expect to spend 150 more on a good servo immediately be the stock one breaks right away,2015-08-31
15,US,43880421,R2ATXF4QQ30YW,B00000JS5S,341842639,Hot Wheels 48- Car storage Case With Easy Grip Carrying Case,Toys,5,0,0,N,Y,Five Stars,awesome ! Thanks!,2015-08-31
16,US,1662075,R1YS3DS218NNMD,B00XPWXYDK,210135375,"ZuZo 2.4GHz 4 CH 6 Axis Gyro RC Quadcopter Drone with Camera & LED Lights, 38 x 38 x 7cm",Toys,5,4,4,N,N,The closest relevance I have to items like these is while in the army I was trained ...,I got this item for me and my son to play around with. The closest relevance I have to items like these is while in the army I was trained in the camera rc bots. This thing is awesome we tested the range and got somewhere close to 50 yards without an issue. Getting the controls is a bit tricky at first but after about twenty minutes you get the feel for it. The drone comes just about fly ready you just have to sync the controller. I am definitely a fan of the drones now. Only concern I have is maybe a little more silent but other than that great buy.<br /><br />*Disclaimer I received this product at a discount for my unbiased review.,2015-08-31
25,US,128540,R24VKWVWUMV3M3,B004S8F7QM,829220659,Cards Against Humanity,Toys,5,0,0,N,Y,Five Stars,Tons of fun,2015-08-31
26,US,125518,R2MW3TEBPWKENS,B00MZ6BR3Q,145562057,Monster High Haunted Student Spirits Porter Geiss Doll,Toys,5,0,0,N,Y,Five Stars,Love it great add to collecton,2015-08-31
27,US,15048896,R3N01IESYEYW01,B001CTOC8O,278247652,Star Wars Clone Wars Clone Trooper Child's Deluxe Captain Rex Costume,Toys,5,0,1,N,Y,Five Stars,Exactly as described.  Fits my 7-yr old well!,2015-08-31
41,US,20962528,RNTPOUDQIICBF,B00M5AT30G,548190970,AmiGami Fox and Owl Figure 2-Pack,Toys,4,0,0,N,Y,Four Stars,Christmas gift for 6yr,2015-08-31
42,US,47781982,R3AHZWWOL0IAV0,B00GNDY40U,438056479,Pokemon - Gyarados (31/113) - Legendary Treasures,Toys,5,0,0,N,Y,Five Stars,My Grandson loves these cards.  Thank you,2015-08-31
